,Broiler_Dhaka,Sonali_Dhaka,Deshi_Dhaka,Broiler_Chattogram,Sonali_Chattogram,Deshi_Chattogram
Broiler_Dhaka,1,1,1,0,0,0
Sonali_Dhaka,1,1,1,0,0,0
Deshi_Dhaka,1,1,1,0,0,0
Broiler_Chattogram,0,0,0,1,1,1
Sonali_Chattogram,0,0,0,1,1,1
Deshi_Chattogram,0,0,0,1,1,1
